,company_name,date_posted,rating,review_title,job_position,job_location,pro_review,con_review
0,Accenture,,3.0,Good company,Applications Developer,Singapore,Cheerful environment even in a stressful situation.,overtime most of the time haha
0,Accenture,,1.0,"Pathetic work culture,worst management",Senior Applications Developer,Singapore,Easy interview and selection process,- First company to introduce 2 month notice period in Singapore to exploit their employees. - Management cares about their billing with the client more than anything even if it means long hours and no work-life balance for the employees. - Waste a lot of time doing presentation slides for internal meetings. - Management is completely employee unfriendly.
0,Accenture,,5.0,Good place if you want to gain more IT project-related experience,Business and Integration Architecture Senior Analyst,Singapore,"- Fast Paced - A lot of opportunities to learn new tech - Colleagues are very nice to work with, and generally very helpful","- Learning curve is very steep - Not much opportunities if you choose to specialize in a certain Tech Stack - Long working hours, and no incentives provided by the company if you work overtime"
0,Accenture,,3.0,So much internal politics,Senior Engineer,Singapore,Good work location and view,so much of internal politics
0,Accenture,,5.0,SAP HR Consultant,Software Engineer Associate,Singapore,Everyone are nice and willing to help one another.,For me there are downsides to provide
0,Accenture,,1.0,Worst work-life balancing company,Java Software Developer,Singapore,"depend on the project you works on, you may get lucky","The company never thinks about the employees, most probably you have to work in a most unplanned and stressful environment."
0,Accenture,,5.0,Great place to learn,Systems Integration Manager,Singapore,Working with the best in industry,Can be demanding and competitive
0,Accenture,,4.0,Great company for those who aims for career growth,Software Engineering Team Lead,Singapore,- work with team across the globe - training opportunities - great career growth,- can be extremely stressful sometimes. Probably depends on project.
0,Accenture,,4.0,"Good place to start off a career, bad place if u want work life balance",Software Engineer,Singapore,- Dedicated and friendly young people - Managers are encouraging and willing to teach - Great exposure - different roles and industry for projects - Great corporate culture,"- Crazy working hours - Promotions sometimes is dependant on the months at level, in which affecting the actual promotion for the people who really put in effort. - For the amount of hours u put in, around 60 hrs per week - the amount of pay that you are getting is nuts."
0,Accenture,,2.0,All Pain without Gain,Software Engineer,Singapore,"Once hired, you get to attend a lot of good corporate parties in fancy hotels.As long as we do our job well , we do not have to worry about losing it.","Worked for a client whom I directly reported to and the client submitted great reviews about me. I had no Accenture side manager who had any idea of the kind of technical work that I did for the client. When it was time for my promotion cycle, I had to go on maternity leave , and I got to know later that due to some internal politics they gave preference to some other candidates whose rating was lower than mine under the assumption that I may decide to extend my maternity leave and may not come back after its completion.Also they completely ignored the positive reviews provided by the client and I had to call them up on a weekend to remind them to put the positive feedback in my appraisal as they were unaware of the work I had done as they have never been to my client workplace."
0,Accenture,,3.0,Decent but can be better,Senior S/W Engineer,Singapore,"- You tend to feel challenged at work. - If you are good performer, you tend to be given more opportunity to do more and learn more to the point that it way exceed your pay grade. - People are nice and fun here.",- Profit driven mentality leadership that willing to compromise quality to get this done. - Lack of mentorship. People with many years of experience unwilling to coach and want fresh grad to run the show - Compensation package is not as attractive as other firm. - Work life balance is subjective on the state of the project which frequently isnt balanced. - 15 days leave only? Come on
0,Accenture,,3.0,Depends on luck,Software Engineering Senior Analyst,Singapore,Great exposure for new joiner and fresh graduate as he will be exposed to the latest technology and methodology. Everyone has lots of opportunity to learn even though he might not have work-life balance.,"Performance appraisal is based on luck. At the end of the financial year, each will be graded through a banding system whereby your reviewer and counsellor will present your performance at a banding meeting. In my opinion, the grading system is pretty much based on the project revenue and how well your reviewer/supervisor fight for you in the banding meeting as you are graded against peers from other projects also. So, it pretty much depends on luck."
0,Accenture,,2.0,Unless you want to learn so many things in a short period of time...,Software Engineer,Singapore,"1. a lot of work. A LOT. 2. good place to start if you are a fresh graduate 3. good place to start if you don't have any technical background but want to pick up technical skills. 4. Good benefits (medical benefits, professional magazines subscription, dental allowance etc.)",1. a lot of work. 2. no work life balance 3. high expectations 4. terrible clients (this depends on the project but my clients were so demanding) 5. terrible culture. They will contact you at any time when they need you. They will expect you to put work first before everything else.
0,Accenture,,2.0,Time demanding and unfullfilling work,Associate Software Engineer,Singapore,"Extensive benefits Accenture offers all full-time employee subsidised medical compansation up to 30% of their clinical visits, and subsidised dental consultant. Full-time employees are allowed to visit some tourist attractions for free. High degree of autonomy and job flexible Everyone in the team is given a clear role in the project. They have been held accountable for their own actions, and they are allowed to work on the way they felt right. The company is on more of a 'Result-only work environment', when you can work at your own pace and timing, as long as you met the deadline. The company allow you to enter the company at your own timing as long as it's not overboard. I have worked with developers who only came into work after lunch.","No sense of purpose There is no sense of purpose working in the company. One of the company motto is ' Client Value Creation'. From my understanding Client Value Creation is to advise the client on what is the best for them, and not blindly follow what the clients, and in the end, let the clients suffer with a lousy product. Unattainable goals More often, the project manager sets unrealistic deadline for almost every aspects of the project. At the first start of the project planning, the management has already planned 10 (+/- 1) hours of workload to be completed in a workday, which allowed them to complete the project on-time. With such unattainable goal-setting, employees had to often finding them working overtime daily. Unfair pay compensation More than often, more than half of the employees work overtime more than 40% of their regular working hours for extended period of more than two months annually. There is no overtime pay for all additional hour put in. In additional, the management is not at all appreciative of the employees' overtime effort, instead, the management sees it as a complusory free labour. When comparing the pay structure of the project, almost half of the employees are being paid below the market rate. Closed-minded management Whenever the management encountered problem, they will seek advice from the employees. However, the management will more than often not take the advice, and made their own decision. This make the feedback irrelevant, and slowly, the employee stop giving feedback, as they knew that their feedback will not be taken by the management."
0,Accenture,,4.0,Great place to start your career,Senior Software Engineer/Analyst,Singapore,1- Good learning opportunities in terms of soft skills and technical ones 2- Great peers from whom you can learn a lot 3- Open to letting employees explore new opportunities,"1- You need to ask to get what you want 2- Competitive environment 3- At least in my immediate circumstance, the experience was not meant for someone who would want to maximise their technical skills 4- The hours can be challenging"
0,Accenture,,4.0,Great place to work at,Senior Software Engineer,Singapore,"New things to learn every day, client facing experience, get to interact with multi functional teams. Great helpful people, open communication environment. Great skills based training are available for employees.","Work life balance can take a hit during months following up to a release, since you are expected to hit the road running, it can be daunting at first."
0,Accenture,,5.0,Great learning experience!,Software Engineer,Singapore,- Professional environment with capable people to learn from as the consultants put in a considerable amount of effort to make sure we get a meaningful experience - Pays relatively well - Excellent brand name,- Long work hours - Pay difference between a software engineer and consultant considering almost the same amount of work scope
0,Accenture,,4.0,"Decent place to start, but not recommended to stay long unless you are a high flyer",Software Engineer,Singapore,- Brand name - Good benefits - Lots of learning opportunities in a structured environment,"- Low salary for software engineering jobs in general, although comparable to other big consulting SIs - Learning opportunities tend to stagnate after a while unless you get to move between different projects, which is rare - Progression limited and highly dependent on relationship with assigned mentor"
0,Accenture,,2.0,Software Engineer,Software Engineer,Singapore,A lot of experience to be gained,"Low salary compared to any where else and other roles. Not appreciated - no recognition. OT is free. Management sees how much OT you do and not whether you are efficient. Fresh grads who joined as software engineers either passion for programming are killed after 1 year and become dead logs, leave the company or change role. Senior management doesn't listen to people below."
0,Accenture,,4.0,Software Engineering Intern Review,Software Engineer Intern,Singapore,"Pretty Relaxed internship even though I got into a tough projects. Since, they took in many interns, my work was pretty relaxed and I finished everything in 10 weeks in a 12 week internship. Learnt VBA and SDLC processes and real life environment in software engieering",Not the most challenging environment. Could have more intern engagement.
0,Accenture,,4.0,Sell your life,Software Engineer,Singapore,"Lots of leaning opportunity with good starting pay and good benefits. Working with great people, with processes in place are to help reporting and analyzing easier.",Working hours is long throughout the year. Weekend work are needed also. Often have to give up time with family and friends to fulfill business needs.
0,Accenture,,4.0,"Reputable Company, but be prepared to work long hours",Software Developer,Singapore,"Good reputation, career stepping stone Work hard, Play hard culture Employee Share Options",Can lack work life balance Not very competitive salary increments / bonuses
0,Accenture,,3.0,Steep Learning Curve for People who like Challenges,Software Engineer,Singapore,Working in Accenture allows you to constantly gain new experience and clear career path,No payment for overtime works. Your satisfaction purely depends on what project you are working in and the management of that project.
0,Accenture,,3.0,Great culture and working environment but SE are lowball,Software Engineer Analyst,Singapore,"Culture, people and free pantry is always good(project)","SE base salary is low in comparison to other roles for H&PS. It feels like they do not see the value in SE and do not know the crucial role it plays in a project. If you're offered an SE position, rethink about joining."
0,Accenture,,3.0,effed up company,Solutions Architect,Singapore,-none really beyond the $400 allowance -a few good colleagues,"No sense of project continuity, huge churn. I got laid off with one week's notice albeit with 6 months' severance but still, finding a job in this economy is tough"
0,Accenture,,4.0,Low compensation,Senior Software Engineer,Singapore,"for fresh graduates, it is a good company to join as there will be many thing to learn given the fast pace.",bonus is low and everyone get almost similar. increment is really little as well and the pay in overall is not competitive enough if compared to the market.
0,Accenture,,3.0,have been in this company for 2 years,Associate Software Engineer,Singapore,"good reputation, when you leave from this company you can easily find the next one","long working hours, boring projects. sometime don get chance to learn a lot"
0,Accenture,,4.0,Good Company,Software Engineering Senior Analyst,Singapore,"good working environment, good people, good career opportunities","significant workload, long working hours, hard to get the work-life balance"
0,Accenture,,1.0,software engineer,Software Engineer,Singapore,- Good brand name - Able to win worthy projects despite economic downturn - Reward and promote those who work hard - Excellent prospect and compensation for those in consulting workforce,"- 'Great' disparity between consulting workforce and other workforces. If you are in other workforce, you get paid much lower, ordered around by consulting people even though you have the same qualifications. - Dont join unless you are offered a position in the consulting workforce."
0,Accenture,,2.0,"Stable company, toxic culture",Mobile Engineer,Singapore,"Stable company. Great compensation and benefits including health card, gym, LoA.","You don't have any choice whether you want to learn a certain language though. Politics are rampant here, sometimes affects a person's rating based on how close you are with your boss"
0,Accenture,,3.0,Good place to learn and earn,Change and Release Manager,Singapore,"Good place to Learn and contribute, very open culture (easy reach to senior management)",Bonus payment is not as good. Around 1 month yearly bonus approx. Not a good place for work life balance.
0,Accenture,,5.0,Good,Software Developer II,Singapore,"Expertise in coding, scripting, developing, testing, deploying for application creation and identifying issues and bugs, and devising creative solutions to mitigate and address issues",Demonstrated excellent communication/problem solving/analytical skills while working in cross-functional team environments and with clients from various backgrounds
0,Accenture,,3.0,Good place to work but not enough,Applications Development Senior Analyst,Singapore,"many projects can choose, work in different environments base on client site. Free trainings and regular department events.","Pay not that good, have to work as a `vendor` in client place. Management model not flexible."
0,Accenture,,5.0,Software Engineering Intern,Software Engineering Intern,Singapore,- Freedom to discuss ideas with senior colleagues and supervisors - Interns are motivated to learn new technologies on their own - Able to get support from team members whenever you face difficulties,- Long working hours
0,Accenture,,3.0,Senior Software Engineer,Senior Software Engineer,Singapore,Many things to learn. Good for freshers.,Below market average when comes to Salary.
0,Accenture,,5.0,Great career starter,Software Engineering Senior Analyst,Singapore,"Supportive and helpful colleagues, challenging but feasible work","Long hours, work on Saturdays, some teams are more well-managed than others"
0,Accenture,,3.0,good to start with. not for long term,Cloud Manager,Singapore,good to start with in a consulting firm before you decide what you want to do,leave it when you know what you want to. cannot stay focus
0,Accenture,,2.0,Profit focused,Solutions Architect,Singapore,Training between projects. Lots of technology to learn.,Your performance is determined by sales or profit brought to company which leads to underhand methods used to capture sales. Many are overworked to deliver overpromised projects.
0,Accenture,,3.0,good place to learn,Senior Software Engineer,Singapore,you can gain a lot of experience by exposing to various projects,you may not always get the chance to do what you want to do even you have related experience
0,Accenture,,3.0,Solution Architect Review,Solution Architect,Singapore,Able to experience sales approached and steps of global consulting firm at an early stage of career.,Not able to concentrate on a dedicated solution because of multiple deals assigned to you.
0,Accenture,,5.0,Consulting World,Solutions Architect,Singapore,Learn alot and only deal with big customer. Has alot of training opportunities,"If you are on bench, you need to do many work and might not be appreciated."
0,Accenture,,4.0,-,Software Engineer,Singapore,"Accenture is overall a good company to work with"" The policies of the company complements to employee satisfaction.",Work life balance; benefit package not as competitive as with other company
0,Accenture,,5.0,Good for career start,Technical Architect,Singapore,Lots of opportunities for trying different technologies and industries,Hard to move up from mid level position
0,Accenture,,3.0,Average,Software Engineering Senior Analyst,Singapore,If you are lucky enough you will get opportunity to work on some great project which allowed you to learn cool and new things.,Company valued presentation skill then technical skills.
0,Accenture,,3.0,Good learning experience,Software Engineering Team Lead,Singapore,"Good people, challenging and quality work delivered",Compensation and Work-life balance is not so good
0,Accenture,,3.0,No worklife balance,Software Engineer,Singapore,Nice pantry and forced to write this review,"no workload balance, very few people doing the ground work yet many 'leads'"
0,Accenture,,4.0,Good culture and meaningful impact in the work that is done,Software Engineer,Singapore,Work that is being done has high and wide impact given the resources available,Limited growth in technical knowledge
0,Accenture,,5.0,Good Learning and Opportunities,Digital Integration Manager,Singapore,"Good if you are self starter, proactive, many projects","Many projects lack of ppl, and client expectations is high"
0,Accenture,,3.0,"Good people, bad management",Solutions Architect,Singapore,Lovely and easygoing colleagues Good benefits,"Managements fails to secure contracts, and fires engineering team instead of taking the blame"
0,Accenture,,4.0,Management not helpful,Senior Software Engineer,Singapore,"Colleagues are good and friendly, able to learn new skills","No work life balance, management don't usually speak out for their co workers"
0,Accenture,,5.0,Nice Company to start and grow with,Data Engineering Consultant,Singapore,- Nice Growth - Mixed Culture & people - Good Leadership,"- Sometimes Too Much work , Depends on Project"
0,Accenture,,5.0,Accenture is a good company to start with,Quality Assurance,Singapore,"Employee benefits like transportation, health benefits, safety etc.",there is No Onshore opportunities for the enmployees
0,Accenture,,3.0,Software Engineer,Software Engineer,Singapore,Good stepping stone and a lot of friendly co-workers.,"Slow promotion and long working hours, lacks work/life balance."
0,Accenture,,4.0,Good overall package,Software Engineering Team Lead,Singapore,- Great overall package - Consists of good people to work with,- Work-life balance can be better while working with Accenture
0,Accenture,,4.0,Working in Accenture,Software Engineer,Singapore,The people in Accenture are good to work with.,"Management sometimes can get very messy and hectic, depending on the project."
0,Accenture,,4.0,Overall is okay. Work life balance depends on the project you get.,Software Engineer,Singapore,Nothing much to complain with benefits.,Projects assigned are mostly bad.
0,Accenture,,3.0,Good,Software Engineer,Singapore,Great learning opportunity in terms of sdlc good practices,Career growth is slow affecting morale
0,Accenture,,4.0,Technology Manager,Technology Manager,Singapore,Good exposure to new technolgoies,work life balance needs to be improved
0,Accenture,,3.0,Great Place to Learn,Business and Integration Architecture Specialist,Singapore,aggressively learn and persue new areas of knowledge when you start,the truth is the working hours vary greatly.
0,Accenture,,4.0,Senior Software Engineer,Senior Software Engineer,Singapore,More opportunities in different projects,Salary not getting an increase
0,Accenture,,4.0,Company Culture,Software Engineer,Singapore,Great Colleagues and nice exposure for newbie like me.,Working Overtime is very common
0,Accenture,,4.0,Software Test Engineer,Software Test Engineer,Singapore,Diverse and provides a lot of training,No downside for this company
0,Accenture,,3.0,Good learning experience,Software Engineer,Singapore,There is flexibility between roles and less politics,Old fashioned ways of hiring and promotions.
0,Accenture,,3.0,Too Demanding and Stessfull,Applications Development Manager,Singapore,Depends lot on project and manager,Need to be very skill full in handling things and people
0,Accenture,,4.0,Accenture - good learning environment,Associate Software Engineer,Singapore,Good learning place for fresh graduates,Growth rate is quite slow for technology sector
0,Accenture,,4.0,Software Engineer,Software Developer,Singapore,Good culture and friendly colleagues,Pay is slightly lower than the average market rate. Over time expected.
0,Accenture,,3.0,Software Engineering Analyst,Software Engineer,Singapore,"Good benefits, okay compensation, sometimes exciting scope of work","No work life balance, lots of overtime"
0,Accenture,,3.0,Heavy workload depends on project,Applications Developer,Singapore,Good benefits with the company,Heavy workload when there is no one can help
0,Accenture,,4.0,Nice company. Good people.,Software Engineering Team Lead,Singapore,Good people to work with,Over loaded with work but not enforced to overtime
0,Accenture,,5.0,Great leadership,Quality Assurance Analyst,Singapore,Great leadership and good working environment.,No career development program for employees.
0,Accenture,,3.0,Competitive promotions,Software Engineer,Singapore,Employee Benefits Ability to move horizontally,Stressful Not very good management
0,Accenture,,2.0,Job Experience,Associate Software Developer,Singapore,Exposed alots tech in short time,Work-Life Balance In terms of shifting projects is really difficult
0,Accenture,,5.0,Great,Cloud Solution Architect,Singapore,Lots of pros like perks.,Long hours and very challenging project - good one.
0,Accenture,,3.0,Good but not great,Software Engineer,Singapore,Good but not great to work,"Low pay, rest should be fine"
0,Accenture,,4.0,-,Senior Software Engineer,Singapore,Good exposure for yourself to learn,Might be hard to find good work life balance
0,Accenture,,4.0,Loads of exposure,Software Engineer Analyst,Singapore,Work along side extremely bright and capable individuals,Overselling from business development thats all
0,Accenture,,4.0,Good Learning,Applications Developer,Singapore,Good Learning experience for fresh grads,work. a lot of work. but fufilling.
0,Accenture,,4.0,Good company to work in,Lead Technical Architect,Singapore,Good company to work in,Work Life balance sometimes challenging
0,Accenture,,4.0,Overall good,Cloud Migration Engineer,Singapore,A lot of avenues for leading,Need to have self-drive to stand out
0,Accenture,,3.0,Intense,Business & Integration Architecture Analyst,Singapore,Techno-functional role allows a more holistic learning experience,Tight deadlines and high stress working environment
0,Accenture,,4.0,Good experience working there,Software Engineer,Singapore,Get to experience many different projects,Nothing bad at the moment
0,Accenture,,4.0,Good,Associate Software Engineer,Singapore,Nice working environment Many resources that are useful,A lot of miscellaneous activities
0,Accenture,,2.0,Worklife Balance,Software Engineering Team Lead,Singapore,Colleagues are a bunch of fun people,Stresses you to the max No worklife balance
0,Accenture,,5.0,Senior Software Engineer,Senior Software Engineer,Singapore,Good work culture. Good leading,Getting hike is very dificult
0,Accenture,,3.0,ACN,Software Engineer Analyst,Singapore,Challenging and competitive pace Friendly and helpful co-workers,Low bonuses Quite a bit of overtime
0,Accenture,,4.0,ACN,Software Engineering Team Lead,Singapore,appreciates cultural diversity and career opportunities,career growth is dependent on project
0,Accenture,,4.0,smooth sailing somewhat,Software Engineer,Singapore,its alright but not great,work can get quite boring
0,Accenture,,3.0,Testing,Full Stack Developer,Singapore,Exposure to latest technologies. Friendly colleagues.,No work life balance. No work efficiency.
0,Accenture,,1.0,I have a very very Bad experience working here,Software Engineering Senior Analyst,Singapore,The only Pros Is Company brand is famous,"Bad company culture Heavy workload Low salary Not a lot benefit High turn over rate, makes working so hard as a team Bosses don’t care about the employees"
0,Accenture,,3.0,Average,Applications Development Senior Analyst,Singapore,Flexible working hours and environment,Kind of difficult to get promotion
0,Accenture,,1.0,Politics Company,Senior Software Engineer,Singapore,No pros... All cons. It's good to be true. Ask those around you before you join.,Politics company...do not join unless you want to stress yourself
0,Accenture,,1.0,Getting insulted for everything you do,Senior Software Engineer,Singapore,"None whatsoever, the cons outweigh the pros",Getting insulted on a regular basis and demoralizing to work at all
0,Standard Chartered Bank,,5.0,Great place to work,Software Engineer,Singapore,"good medical benefits, great flexi hours",alot of red tape internally
0,Standard Chartered Bank,,4.0,Good as long as you can keep your position,Full Stack Developer,Singapore,Pretty good leave benefits and can work from home,Pray your position is not replaced by someone oversea
0,Standard Chartered Bank,,4.0,Great work life balance,Cloud Engineer,Singapore,good work life balance for engineers. Tech stack is new and advanced.,Too political at management level.
0,Standard Chartered Bank,,5.0,Great place to work,Solutions Architect,Singapore,Work on some of the leading edge technologies in the banking industry.,It's improving but there is alway room to improve in reducing bureaucracy.
0,Standard Chartered Bank,,3.0,slow and steady,Enterprise Solution Architect,"Pasir Panjang,","nice people, and they try to do the right thing","Slow progress, lots of confusion"
0,Standard Chartered Bank,,4.0,Good place,Software Developer,Singapore,Salary is competitive and benefits are good!,Can we very project focused which will create a lot of pressure on delivering projects.
0,Standard Chartered Bank,,4.0,Competitive compensation but slow to change,Senior Software Engineer,Singapore,Competitive compensation Work life balance,Slow to change Frequent change direction with new manager Quite political environment
0,Standard Chartered Bank,,4.0,High mental pressure,Lead Engineer,Singapore,Good pay with expected bonus,High pressure environment Non transparent management Politics Unsecured job
0,Standard Chartered Bank,,4.0,"Good place overall, decent benefits and learning opportunities",Junior Cloud Engineer,Singapore,"Place to learn and grow, if you have vision and skills you can really make a difference, just be focused on the technology and work, don't play the game","Process heavy, multiple layers of redundant management who do not understand the tech stack, and delegate work only"
0,Standard Chartered Bank,,2.0,Horrible Experience,Devops Engineer,Singapore,"Good benefits, pay was really good, but I ended up taking a better offer with a hedge fund.","Most of the tech team are of the same race. Very poor tech system in place (mostly legacy systems) People who were so-called ""engineers"" spent most of their day doing documentation and on-calls, not very technical after all."
0,Standard Chartered Bank,,4.0,Good values,Junior Cloud Engineer,"Changi Village,",Good values for the enterprise as a whole,Depends on which team you are in...which department...
0,Standard Chartered Bank,,3.0,"It good work and technology wise, but the work culture wasn't good.",Senior Applications Developer,Singapore,Good project to work on Good tech stack to work with,There is no clarity what exactly to do. There was no idea whom to get your assigned from. There ware so many stack holder involved asking to prioritize their work and deprioritize other's assignment.
0,Standard Chartered Bank,,3.0,generally good company,Technical Manager,Singapore,"flexible working environment, good benefits",not much career growth or opportunities but also depends on department or boss
0,Standard Chartered Bank,,5.0,Good company,Software Development Engineer,Singapore,Good company to work for.,Depends on project and team
0,Standard Chartered Bank,,3.0,Retirement job,Associate - FCC Controls,Singapore,Work life balance and flexible,Progression is limited unless you're an expat
0,Standard Chartered Bank,,4.0,Good place to work when you are still young,Senior Engineer,Singapore,Ample chance to learn and be involved in interesting projects,Lack of work life balance and diversity in the team.
0,Standard Chartered Bank,,5.0,Good work life balance,Junior Cloud Engineer,Singapore,"Good work life balance, pay is good",Slow moving. A lot of red tape
0,Standard Chartered Bank,,5.0,Great environment for work life balance,Cloud Engineer,Singapore,-Benefits are okay -Salary is great comparing to other companies woth similar roles - Plenty of leaves - wfh 4 days,"Cant really think of any, but hopefully to get better benefits is just a feedback and not a con"
0,Standard Chartered Bank,,5.0,Benefits,Release Manager,Singapore,- Good pay and bonus - 25 days of leave,- Not a great hike you can expect.
0,Standard Chartered Bank,,4.0,Good company,Senior Software Engineer,Singapore,Work experience with world best people,High level work with minimum direction from supervisor
0,Standard Chartered Bank,,4.0,Good Work Environment,AI Engineer,Singapore,"Work-life balance, good compensation, and a fantastic office environment",Limited exposure to your own domain and roles
0,Standard Chartered Bank,,4.0,Review,API Engineer,Singapore,- Good People - Employee Benefits are good - Good amount of leaves - There is good respect of personal time & space especially when taking leaves,"- Every team is working on tight timeline, and in survival mode, so it's hard to get help from other teams when everyone is trying to deliver their project in unrealistic timelines."
0,Standard Chartered Bank,,5.0,Great place to work,Lead DevOps Engineer,Singapore,Work life balance Good salary compensation Leave and medical benefits,Over processed Slow moving technology No growth once joined
0,Standard Chartered Bank,,5.0,Good place to work,Machine Learning Engineer,Singapore,Very good compensation and work life balance,Very competitive for career progression
0,Standard Chartered Bank,,5.0,Good working environemnt,Software Engineer,Singapore,- good salary and work environment,- may need to over time quite a bit
0,Standard Chartered Bank,,4.0,Good for short term,SVP-Technology,Singapore,Good benefits in terms of on contract variable pay,Silos and No one works for the company’s goals - only their own Too many layers
0,Standard Chartered Bank,,5.0,Great place to work,Lead Solution Architect,Singapore,"Good working environment, good salary, good benefit, good learning programs, good career path development, good work life balance.",Some internal processes are still tedious although there have been many improvements in the past few years.
0,Standard Chartered Bank,,4.0,Benefits are good,Development Lead,Singapore,"In terms of people, they are nice to work with. In terms of benefits, nothing to ask for.","In terms of management, keep changing structures."
0,Standard Chartered Bank,,2.0,Middle Managers act like agents - only politics - No growth,Senior Developer,"Tampines New Town,",- Good perks - Good leave - Good Compensation,Management act like middle agents - only politics - No growth The Middle layer like the Project Managers and Development leads are the pain. They are not technically astute so they just play politics to stop the developers to grow.
0,Standard Chartered Bank,,4.0,good org,Senior Software Engineer,Singapore,salary good .hr is ggod.,politics. big bank.old systems. casteism.
0,Standard Chartered Bank,,5.0,Nice company to grow,Senior Software Engineer,Singapore,"big bank so all perks like mobility, loans, growth opportunities are available",not many and nothing particular with this company. it all depends on the project you are in.
0,Standard Chartered Bank,,3.0,Good for relaxed work life balance,Senior Software Engineer,Singapore,Good remuneration and family healthcare benefits,The review / feedback processes were substandard and inconsistent across the organisation.
0,Standard Chartered Bank,,4.0,Mediocre talent,Software Engineer,Singapore,Good environment to make mistakes when starting out,Lack of capable or experienced specialists
0,Standard Chartered Bank,,5.0,Good learning environment,Data Quality Manager,Singapore,Good Employee practices D&I focus Friendly colleagues,Hierarchical Slower adoption Inertia to change
0,Standard Chartered Bank,,5.0,Good,Senior Developer,Singapore,"Challenging work, shape every employee to be better.. attractive salary and package.. good company for retirement",More work than manpower.. unrealistic work effort vs man power.. need to be creative to deliver more with less people
0,Standard Chartered Bank,,3.0,Well paid,Software Engineer,Singapore,Well paying job and flexible working hour. Can work from home,- Quite a lot of political but got improving now.
0,Standard Chartered Bank,,4.0,The good and the bad,Cloud Engineer,Singapore,"Opportunity to get your hands dirty with new tech ( work on challenging solutions, adopt open source or managed solutions)",Management sucks. Too many reorgs.
0,Standard Chartered Bank,,5.0,Very Good Company/Bank,"ENGINEERING LEAD - SRE, DEVOPS, AUTOMATION",Singapore,"Employee friendly, Job satisfaction, Nice place to work.","No Cons, No Cons, No Cons, No Cons No Cons"
0,Standard Chartered Bank,,4.0,Decent,Senior Software Engineer,Singapore,Salary is still good enough,No work life balance at all
0,Standard Chartered Bank,,4.0,"First year really hard, can be frustrating, needs a lot of patience and then there is rewarding payoff",Director - Technology,"Bishan New Town,","Great for Asia time zone working (no late night calls with us/eu). Great people can have an impact if able to influence. Very diverse, you gain lots of insight from varied parts of the footprint, definite wind of change from 2016 onwards where you can see the cob webs being blown away (it takes time and patience though). Not that many big ego's - people generally on the level (this can be misconstrued as apathy sometimes)","You need patience. It can be very frustrating to navigate and leverage to get things done. Don't expect spoon feeding, it's a ""figure it out yourself"" environment. Generally, office facilities are quite poor in some locations. Quality of staff is less developed countries causes frustration and leads to focus on rigid process (as people can't be trusted to think for themselves). Still some old guard clinging to power structures which creates some cliques (these are barriers to change and personal growth), HR is very weak - you are at the mercy of line manager for career development so must take into your own hands."
0,Standard Chartered Bank,,4.0,Work life balance,Senior Software Engineer,Singapore,"Good working environment, supportive management",Some teams are not supportive
0,Standard Chartered Bank,,2.0,"Poor Management, now feeling the effects",Senior Developer,Singapore,"Good chance to work in Asia if that's what you are looking for. A few years ago they had a very good relocation package, not sure if that is still the case. Negotiate a good salary when you join as very few of my colleagues received pay increases while I was there.","Now feeling the effects from years of promoting poor quality managers to positions where they are out of their depth and have become a hindrance to getting the job done. In IT you are just a body to be assigned to whichever project your line manager chooses, your own career progression goals are ignored. The IT PMs seemed to think that having daily status meetings (sometimes even twice a day) and calling them scrum meant they were 'doing agile'.... Changi business park office contains lots of dead wood completely detached from the front line. Visit the canteen at any time of day and you'll find people playing pool, having coffees and generally slacking off. Management need to get a grip and improve productivity."
0,Standard Chartered Bank,,3.0,Private Club,Software Engineer,Singapore,"Technologies stack depends on team but new technologies are quite common, legacy things in process of elimination. More or less flexible schedule, modern software/computer/office. Decent salary. Whole bunch of talented people.","Processes management is worse than bad, it does not exist at all, no schedule, constant overtimes as consequence of poor planning, chaotic decisions without direction. Low working culture, no respect for private life, high pressure. No diversity, most of people are from South India, technical discussions in Tamil are regular thing despite of some team members are not Tamil speakers. Very often people are hired not for their skills but for their loyalty / private connections. Nepotism and lot of internal politics which affects performance and delivery."
0,Standard Chartered Bank,,1.0,There are worst places to work as a technologist,Senior Big Data Engineer,Singapore,"If you are an unambitious person that just want some salary, this could be the place for you.","Your experience might vary according to the team you are in, but most technology teams are uninspiring and spend more time talking than doing. Management has a sharp eye to detect employee entitlement but is completely oblivious to corporate and their sense of entitlement. They expect intrinsic motivation from employees, despite all the actions the company takes to demotivate people. Make sure to negotiate hard before signing the contract, in special if you are relocating to Singapore. Do not expect any salary increases or promotions for technical work, playing politics is essential."
0,Standard Chartered Bank,,2.0,Too burocratic,Software Developer,Singapore,"Good Bonuses, Good HR Policies, Very few but extremely smart technologists, Made Great Friends.","Lesser career growth, Lesser Salary growth, Very few but very smart people (offset to a great extent to the prevailed incompetence)."
0,Standard Chartered Bank,,4.0,Good learning environment with good bonuses,Product Engineer,Singapore,Yearly bonus is good. Competitive and on the job learning experience Work life balance is average.,Stagnant management layer. Internal processes slows down time to market No long term vision for various important projects
