Job Description,Tags
"The Service Desk Analyst is responsible for providing technical support to the Firm’s internal customers. This person must be able to master software applications quickly, and above all, they
must have an extensive customer service background. The Service Desk Analyst possesses a good understanding of legal environment priority requirements.

The core work hours are Monday through Friday, 40 hours per week (8 hours per day, with one hour for lunch), to be worked between the hours of 5am to 2pm. In addition to regular
call/email coverage for Service Desk, rotation of on call weekend coverage and support is required.
This is a remote role with one in-office day per month to aide collaboration.

Responsibilities:
Provide solutions to customer problems of complex nature to ensure customer satisfaction.
Prioritise, research, resolve, and respond to requests in accordance with current standards.
Communicate with team members concerning work related matters and provide assistance as needed to other team members.
Timely awareness of and impact on relevant support issues on a firm wide basis.
Demonstrate enthusiasm, a positive attitude and a high work ethic.
Acquire, maintain, and expand knowledge of relevant product offerings, current support policies, and methods of support delivery, in order to provide technically accurate solutions to help-desk customers.
Provide technical assistance on the Firm’s software including, but not limited to, Microsoft Office 365 Suite, Teams, Adobe, iManage Document Management Software, CRM Software, the Windows operating system, basic hardware including, but not limited to, iOS devices, printers, laptops and network troubleshooting and remote connectivity troubleshooting and VPN.
Utilise all available technical resources and current support policies in order to provide accurate solutions to customers.

SKILLS AND EXPERIENCE:
A positive attitude to customers and co-workers.
Be team-oriented and possess strong troubleshooting skills.
Be goal-oriented and proactive, with the ability to take ownership of customer requests.
A faultless approach to customer service, and willingness to take on any task or request.
Problem solving - identifies and resolves problems in a timely manner; gathers and analyses information skilfully; develops alternative solutions; works well individually or in group problem solving situations; uses reason even when dealing with emotional topics.
Multi-tasker who can handle being under pressure, whilst ensuring attention to detail.
Project a positive attitude to customers and co-workers, team-oriented and strong troubleshooting skills.
Clear verbal and written communication skills.
High energy levels.
Ideally possesses a degree in technology or equivalent professional accreditations.
Working knowledge of ITIL Service Management is preferred.
Successful candidates will have supported a user population greater than 50 people, ideally in a law firm or professional services environment.
Candidates must have a strong understanding of current Microsoft Office Suite and Windows 10 & 11, MOS certifications preferred.
Candidates should also have strong familiarity with Document Management Systems and a solid understanding of desktop and laptop computer hardware and troubleshooting.
Working knowledge of ITIL Service Management is preferred.",[Document Management][iOS][Asset Management][Troubleshooting][Microsoft Office][Windows 10][Hardware][Service Management][Laptops][Information Technology][Computer Hardware][Problem Management][Service Desk][Application Support][Windows][Customer Satisfaction][ITIL][Customer Service][Professional Services][Technical Support]
"Responsibilities:
Provide Presales support on cybersecurity & PKI security products/ solutions to clients and partners.
Execute post-sales installation, technical support (L1-L3) and maintenance services of cybersecurity & PKI products/solutions.
Troubleshoot reported issues and collaborate with technology vendors for escalation when required.
Ensure the completion and follow-up of daily operations and tasks.
Provide technical support for tender submission, including technical compliance, technical solution proposal, and conducting Proof-of-Concept testing based on given bill of material.
Evaluate and test security products and technologies for the development of new products and solutions.
Requirements:
Diploma or Degree in IT, Computer Science, Cybersecurity, or equivalent
1-2 years of hands-on experience in designing, managing, and implementing cybersecurity for multi-vendor infrastructure, including:
Microsoft based Domain Controller, DNS, DHCP, LDAP, RADIUS & AAA servers
Microsoft based Certificate Authority, Prime Key EJBCA
Window/Linux/UNIX OS environments
Hardware Security Module (HSM)
Key Management System (KMS)
Ability to troubleshoot technical issues or perform technical setup with minimal supervision.
Knowledge in SQL system such as MSSQL, Oracle, MYSQL is a plus.
Familiarity with networking solutions (i.e. switching, routing) is advantageous.
Professional certifications in cyber security or networking will be advantageous.
Initiative with a positive working attitude.
Hardworking and eager to learn new technologies and skills.
HOW TO APPLY:
Interested applicants, kindly send your resume in MS WORD format to ref10@trustrecruit.com.sg or please click on “Apply Now” and provide the below details in your resume.
Last drawn salary
Expected salary
Notice period
Reason for leaving
We regret only shortlisted candidates will be notified.
Important Note: Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA).
Please read our privacy statement on our corporate website www.trustrecruit.com.sg.
Trust Recruit Pte Ltd
EA License No: 19C9950
EA Personnel: Hooi Wai Man (Samantha)
EA Personnel Reg No: R21100062",[PKI][Information Security][Trend Micro][System Implementation][Preventive Maintenance][Managed Services][Troubleshooting][Hardware][Rollout][Cryptography][Information Technology][Project Planning][Networking][Unix Administration]
"Responsibilities:
Leading multiple teams of onshore and offshore resources to deliver projects on time and within budget for the programs / projects for which they have responsibility.
Work with Account Managers to develop account strategy and plan that best leverages resources and strategies to meet customer expectations
Maintaining end-to-end accountability for customer satisfaction and overall delivery excellence.
Ensure that the right type and number of resources that are required to fulfil the planned projects are available and in place through cooperation with offshore managers, onsite and offshore recruitment teams.
Responsible for programs’ financial management (P&L) and reporting and optimizing processes.
Managing and leading complex stakeholders from both customers and internal team towards the optimal solutions.
Holding the teams to the highest standards, project discipline and accountability.
Continuously improving the delivery model and strategy, implementing, and managing delivery with the associated teams.
Identify, manage and resolve complex issues, preventing escalations, where possible. Identify appropriate resolution to achieve client satisfaction in a timely manner.
Requirements:
Proven track record of delivering a collection projects and products for a portfolio size of $3M+
7+ years of business development, project delivery and client relationship management in a technology environment
Strong customer orientation and able to manage customer expectations
Ability to develop strategic plans and translate them to actionable roadmaps
Ability to manage risk, and encourage strategic risk management based delivery in others to manage expectations and communicate effectively
Excellent relationship building and interpersonal skills, including cross-cultural competence
Strong leadership qualities and a passion for building high performing teams
Certifications in Program / Project Management such as PMP, Scrum master, PMI-ACP.
We regret that only shortlisted candidates will be notified

Interested applicants please send your updated resume to noga.lim@peopleprofilers.com

Noga Lim Wei Loong
Registration Number: R1329872
EA License Number: 10C3804
People Profilers Pte Ltd, 20 Cecil St, #08-09, PLUS Building, Singapore 049705
http://www.peopleprofilers.com",[Leadership][Cecil][Financial Management][Interpersonal Skills][Scrum][Onshore][Relationship Management][Risk Management][Project Management][PMP][Accountability][Customer Satisfaction][Business Development][Project Delivery][Customer Orientation][Service Delivery]
"About UP Devlabs:
We are seeking a team of highly motivated who can jointly develop innovative solutions and enjoy the process of continuous learning of trending and modern technologies. If you are looking to collaborate with highly motivated peers, and immerse in best industrial practices, or if you have a deep passion for new creation and innovation ideas, this is the right opportunity for you.

Responsibilities:
. Well experienced in applying knowledge in architecture implementation and operational support
· Strong knowledge of process automation, best practices for DevOps
· Strong desire to implement new technologies to improve existing implementations
· Troubleshooting problems and provide resolution with minimal or zero impact to our clients
· Develop automation scripts to automate daily work processes
· Ability to evaluate, conduct PoCs and build solutions on new technologies
· Analyze and implement new business requirements and projects
· Containerize applications using Dockers
· Orchestrate deployment with orchestration tools such as Kubernetes
· Any others ad hoc assignment as required

Skill and Qualifications:
· Bachelor’s Degree in Information Technology, Computer Science or equivalent experience required.
· At least 2 years of hands-on experience as DevOps engineer.
· Strong expertise in DevOps automation, containerization and orchestrations using tools such as Ansible, Terraform, Docker, Kubernetes, Elastic stack, Prometheus stack, etc
· Strong expertise in DevOps CI/CD Tools such as Jenkins.
· Strong experience with Linux is preferred
· Scripting knowledge in Bash, Python, etc.
· Experienced with cloud providers such as AWS, Google Cloud,Alibaba Cloud, etc.
• Certifications in any of the Cloud Providers is a plus
· Critical thinking and problem solving skills.
· Comprehensive debugging and troubleshooting skills.
· Excellent communication skills and team player
· Standby Duty required for off-hours support

UP-SGDS-DE-20240415 (XH)",[Troubleshooting][Process Automation][Kubernetes][Critical Thinking][Scripting][Bash][Information Technology][Python][Containerization][Google Cloud][Docker][Ansible][Orchestration][Debugging][Linux]
"The Opportunity
Adecco is partnering with one of the most well-established and respected financial institution with a strong track record of success.
They have a culture of innovation and continuous improvement, constantly looking for ways to improve their services and offerings.
Job Responsibilities
Manages user requests & incidents in a timely manner
Prioritizes User requests based on their urgency, their criticality and their context. Ensure all incidents investigation and follow-up in case of third-party / vendor involvement, communication and pushes for resolution including workaround identification.
Ensures adequate and efficient communications toward users, senior management and other IT stakeholders during incident management process (major or minor).
Ensures Daily support tasks
Ensures sanity checks are performed (morning, evening) and on-calls duty.
Contributes to change requests, urgent data modifications and INTPRODs executions.
Escalates issues if need be, but remains the main point of contact for the user
Pushes for sustainable resolutions and sustain knowledge management
In case of Incident, ensures root cause is properly identified and remediation actions defined and prioritized (Problem Management).
Contributes to major incident reports and post-mortems when required.
In case of recurrent Request/incidents, pushes for the creation of a Feature Development/bugfix, or automation.
Keeps the support documentation up-to-date.
Acts as the IT Run preferred communication channel with all stakeholders.
Contributes to Major events (BCP, Disaster recovery, Production interventions, etc.) synchronizing with other Support engineers, Users, and CAGIP stakeholders.
May extend his activities to complementary tasks like Testing or BA if part of the squad.
Must have skllls as Good communicator, who can transalate technical issues in Simple language which is understantable and relatable with Business and Operations.

Job Qualification
Solution oriented, business focused with a mindset to constantly improve production quality and stability.
Have basic technical skills e.g. SQL, Unix, Microservices, CI/CD tolls etc.
Excellent analytical skills
Ability to multi task and manage stress while maintaining empathy for end users.
Exposure to Monitoring tools & Automation.
Good communicator and have managed Operations & Business.
Problem-Solving mindset with orientation towards Continues Improvement.
Functional knowledge of similar kinds
Experience
The candidate should have minimum 4 year’s experience in application support, with exposure in Banking industry (is a plus).
Next Step
Click “apply” or send resume to: Tamanna Bilandi tamanna.bilandi@adecco.com
EA Licence No.91C2918 | Personnel Registration No. R2096241",[Remediation][Analytical Skills][Stress][Investigation][Knowledge Management][Unix][Microservices][SQL][Problem Management][Application Support][Interventions][Banking][Disaster Recovery][Incident Management]
"- Work closely with project sponsor/ PM, cross- functional teams, to develop the scope, deliverables, required resources, work plan, budget, and timing for new initiatives.
- First point of contact for all delivery related issues
- Works closely with the Workstream leads from SMBC and JRI for delivery related topics.
- Work with Project PM to drive Project Plan to successful implementation.
- Manage program and project teams for optimal results, and coordinate and delegate cross-project initiatives.
- Develop and manage budget for projects and be accountable for delivering against established business goals/objectives.
- Work with other Project PM to identify risks and opportunities across multiple projects within the program.
- Responsible for creating and managing to project governance protocols.
- Responsible for ensuring resource requirements support execution of the project plan.
- Conduct weekly governance meetings.
- Develop and agree on milestone acceptance criteria in collaboration with offshore engagement manager.
- Monitor status and completion of Kick off activities on schedule, and so as to meet the goal.
- Analyse, evaluate, and overcome program risks, and produce program reports for managers and stakeholders.
- Responsible for delivery of program from onshore and offshore (supported by offshore engagement manager)
- Acts as the key point of contact for project delivery and fulfillment of the identified demands in timely manner.
- Responsible for the day-to-day delivery of workstreams
· Communication:
- Act as a liaison between English-speaking teams in Singapore and Japanese-speaking teams in client SG Office, facilitating effective communication and understanding.
- Lead at monthly governance meetings with CIO, provide delivery updates and fostering a cohesive project environment.
· Stakeholder Management
- Cultivate strong relationships with Regional IT leaders in Singapore and collaborate closely with the global headquarters in Tokyo.
- Provide regular project updates to leadership, ensuring a unified understanding of project progress.
- Coordinate efforts with global teams to leverage resources and expertise effectively.
· Risk Management:
- Identify potential risks and issues related to projects within the Asia-Pacific region and coordinate with global teams to address challenges.
- Proactively communicate and work towards solutions to keep projects on track and within scope.
· Quality Assurance
- Ensure that project deliverables meet quality standards and align with regional and global project requirements.
- Conduct thorough reviews of documentation and project artifacts in both languages to maintain consistency.
· Continuous Improvement:
- Evaluate project processes and outcomes in the context of both regional and global perspectives.
- Implement best practices and lessons learned from projects in the Asia-Pacific region to enhance global project initiatives.
· Reqts
- Fluent in both English and Japanese, with excellent written and verbal communication skills in both languages.
- Proven experience as a Project/ Delivery Manager, preferably in the FS IT sector, with a focus on regional and global projects.
- Strong understanding of project management methodologies and tools applicable to both regional and global contexts.
- Cultural sensitivity and ability to navigate diverse work environments, particularly in the Asia-Pacific region.
- Excellent interpersonal and collaboration skills, especially in a multicultural setting.
- Detail-oriented with a focus on delivering high-quality results.",[Leadership][Quality Assurance][Scrum][Onshore][Risk Management][Conflict Resolution Skills][Sales Strategy Development][Project Management][Fraud][Consulting][Stakeholder Management][Project Delivery][Professional Services][Japanese]
"Responsibilities:
Utilize technologies such as ML, deep learning, statistics and operation research, and mechanism modelling to design and analyze processes in the field of smart manufacturing, including data exploration, model construction, and algorithm selection.
Simultaneously apply data analysis techniques to thefollowing applications: industrial inspection, defect classification, predictive maintenance, intelligent tuning, and parameter optimization.
Creating IP Property Rights in Singapore
Ability to establish relationships with local universities or research institutions, integrate resources, and initiate new projects.
Establish clear technical reports and collaborate with internal cross functional teams.
Understand the needs and issues of business group production and integrate research and development results into the production line.
Requirments:
Experience in publishing papers related to machine learning, deep learning, or data analysis.
Familiar with various machine learning or data analysis tools or suites: Scikit-learn, PyTorch, Tensorflow, Keras, OpenCV, etc.
Having knowledge related to distributed computing. For example, various technologies such as Spark, Hadoop, Hive, etc.
Bonus requirement - Experience in manufacturing practice, software development, digital twin simulation, and mechanism modelling is preferred.
At least 1 year of relevant experience.
HOW TO APPLY:
Interested applicants, kindly send your resume in MS WORD format to ref10@trustrecruit.com.sg or please click on “Apply Now” and provide the below details in your resume.
Last drawn salary
Expected salary
Notice period
Reason for leaving
We regret only shortlisted candidates will be notified.
Important Note: Trust Recruit Pte Ltd is committed to safeguarding your personal data in accordance with the Personal Data Protection Act (PDPA).
Please read our privacy statement on our corporate website www.trustrecruit.com.sg.
Trust Recruit Pte Ltd
EA License No: 19C9950
EA Personnel: Hooi Wai Man (Samantha)
EA Personnel Reg No: R21100062",[TensorFlow][Machine Learning][Construction][FMEA][Data Analysis][Predictive Maintenance][OpenCV][Keras][Research and Development][Tuning][PyTorch][Production Line][Statistics][Manufacturing][Software Development]
"Responsibilities:
Provide technical consultation to customers through understanding customers’ requirements and recommending the most suitable solutions and services.
Helping and support the sales team to reach targets.
Engage vendors for support and solutions.
Delivering presentations and demonstrations to prospective and current clients.
Work with sales on proposals presentation.
Liaising with those developing products/services to gain an in-depth knowledge that you can relate to customers.
Conducting research into the industry.
Potentially considering new markets or clients to contact.
Qualifications:
Bachelor’s degree in Computer Science, Information Security, or related field (or equivalent work experience).
Excellent communications and writing skills.
Self-motivated and able to work under pressure and to tight deadlines.",[Information Security][Security Operations][Remediation][Wireshark][Cyber Security][Protocol][Operating Systems][Windows][Threat Intelligence][Vulnerability Assessment][Network Security][Writing Skills][Linux][Incident Management][CISSP]
"Position Summary:

The position is to administer and manage enterprise SAN storages, NAS storages and SAN switches to support day-to-day storage infrastructure operation, capacity planning, upgrade, technology refresh, EOSL replacement and new business project implementation. This role will be based in the data centre environment.

Job Responsibilities

Storage Management and Administration
Perform Storage administration such as health-check, monitoring, configuration, storage provisioning in SAN and NAS storages
Creation and update reports, configuration, and performance health check processes and procedures.
Creation of run-books for work done by L1 & L2 operational teams periodically.
Assessment of compliance with IT control policies, and creation and on-time execution of remediation plans for gaps identified
Regular reporting of storage capacity, performance and availability
Supporting backup infrastructure using NetBackup (Optional)

Set storage administration processes
Support day-to-day operation, 24/7 standby & duty-roaster
Support storage maintenance, break-fixes, firmware upgrade, capacity upgrade, etc.
Align storage administration with overall strategic IT service direction
Comply policies, procedures, and controls to ensure storage security

Requirements / Qualifications
Holder of Degree / Diploma related to IT / Computer Engineering
Minumum 2 years’ experience in Storage technologies and virtualized environment management
Knowledge in hardware, Storage technologies and NetBackup
Scripting and automation of tasks
A team player
Experience of supporting 24x7 operations
Ability to think out of the box and work independently
Certifications in Storage management, NetBackup Administration will be an advantage
Certification in ITIL
EA Licence No: 11C5502 | EAP Registration No: R22109400",[Switches][Troubleshooting][Remediation][Hardware][SAN][Scripting][Unix][Administration][Environment Management][Storage Management][NAS Storage][Firmware][Windows][ITIL][Team Player][Disaster Recovery][Virtualization][Linux]
"Key Responsibilities and Attributes:
Provide Technical Application Support for the Security Infrastructure and Applications.
Production and UAT Environment Troubleshooting expertise.
Capacity, performance, and Stability reporting and Management.
Maintenance of scripts and other tools for system monitoring and process automation.
Provide Technical Mentoring.
Lead Operations-related projects and Security assessment for the infrastructure associated with the applications in scope.
Leadership Skills to Document and do knowledge transfer to other team members.
Be responsible to assess the risk and associated impact of all operational issues and change events and react quickly to escalate to technology management in a timely manner when required.
Work closely with the infrastructure team to ensure the operational requirements are met during application integrations.
Continuously keep the Knowledge Share repository up to date.
Strong interpersonal and communication skills.
Strong analytical skills and attention to detail.
Ability to work across all levels of the organization.
Proven ability to work with demanding global partners within aggressive timelines; solid problem solving, analytical and technical abilities.
Qualifications
Strong candidates will possess the following qualifications:
Bachelor’s degree in information technology or any other equivalent
Knowledge and 3-5 years of experience in Operations support or System Administration
Knowledge and experience with the following Operating Systems is a must: Red Hat, Linux, Windows System, or other Unix-based Operating Systems
Hands on experience with Unix scripting, SQL, or any other equivalent
Knowledge of Security tools and hands-on experience with some of the following technologies is an added advantage:
Multi-Factor Authentication and Authorization Technologies: Safeword Premier Access, Cisco ISE, CITI2EE End to End Encryption, Cloud IAM, SiteMinder
Data Security Technologies: Cortosis, DTAAS, Ionic
PKI Technology and Encryption Systems: Entrust, MS-PKI, Venafi Encryption Director, OCSP, Hashicorp
Identity Management Technologies: SailPoint, Powerbroker
Privileged Access and Vault Management Technologies: CyberArk, SCAPDAP, WAIS
Monitoring or Automation Tools: Tivoli, Sensu, Autosys, ServiceNow",[Technology Management][Cyber Security][Unix][Administration][IT Operations][Red Hat Linux][Operating Systems][System Administration][ServiceNow][Autosys]
"The Opportunity
Adecco is partnering with one of the most well-established and respected financial institution with a strong track record of success.
They have a culture of innovation and continuous improvement, constantly looking for ways to improve their services and offerings.
Job Responsibilities
Design, develop, and maintain automated test scripts and frameworks to validate software functionality, performance and security.
Take ownership of leading the quality of an assigned project and its features
Collaborate with cross-functional teams to understand software requirements and define comprehensive test plans.
Execute test cases and analyze test results to identify defects, performance bottlenecks, and areas for improvement.
Contribute to API testing, backend testing, data analytics testing, performance testing and UI/UX testing, test case prioritization and optimizing test case prioritization to increase testing velocity.
Work closely with software engineers to troubleshoot and resolve issues found during testing.
Participate in code reviews and provide feedback on testability, maintainability, and scalability of software components.
Continuously improve testing processes and methodologies to enhance efficiency and effectiveness.
Mentor junior QA engineers and provide guidance on best practices in software testing and quality assurance.
Stay up-to-date with industry trends and advancements in software testing tools and techniques.
Automation and Development: Strong Experience in development, specially in
- Technologies: Java/J2EE, Python, Shell Scripting, PL/SQL, SQL
- Database: Sybase, Oracle, PostGreSQL
- BDD Framework: Cucumber
- Source Code/Lifecycle Management: SVN/GIT, Jenkins, Gitlab, Ansible, MasterDeploy, Docker, Kubernetes.
- Automation tools and frameworks: JUnit, TestNG, Selenium, Rest Assured , Cypress, Postman.
- Other Tools: JIRA, Confluence, Xray test case management tools.

Job Qualification
Proven experience (5+ years) in quality assurance software development, with a focus on designing and implementing automated test suites.
Solid understanding of software development lifecycle (SDLC) and agile methodologies.
Excellent analytical and problem-solving skills, with attention to detail.
Strong communication and collaboration skills, with the ability to work effectively in a team environment.
Experience with continuous integration/continuous deployment (CI/CD) pipelines is a plus.
Other Professional Skills and Mindset
Excellent communication and interpersonal skills to effectively collaborate with diverse teams.
Excellent problem-solving and analytical skills.
Ability to work under pressure.
Appetite to follow technology trend and participate to communities.
Eagerness to learn and adapt to new technologies.
Passion for sharing expertise and grow team members’ skills.
Education Requirements
At least a Bachelor’s degree in any of these faculties:
Computer Science
Information Technology
Programming & Systems Analysis
Science (Computer Studies)
Next Step
Click “apply” or send resume to: Tamanna Bilandi tamanna.bilandi@adecco.com
EA Licence No.91C2918 | Personnel Registration No. R2096241",[Confluence][Scalability][Kubernetes][Oracle][PostgreSQL][SDLC][Information Technology][Test Cases][JUnit][Systems Analysis][SQL][JIRA][Python][Docker][API][Software Development]
"Roles & Responsibilities
Job Description & Requirements
Must have strong Procure To Pay process experience (PR, PO, GR, Invoice, Payment, Plant, Material, Vendor)
Minimum 3 full life cycle implementation experience with SAP ECC 6.0 or newer version
Experience with WM, Transport Management is nice to have
Experience with Ariba Cloud Solutions is nice to have
Proven ability to define user requirements and corresponding system specifications, accurate time estimates and creation of clear and concise documentation.
Experience in preparing and reviewing of functional specifications for reports, Interfaces, and validations, creating and reviewing technical specifications.
Experience in working as a lead position for 1 to 2 projects and co-coordinating Clients, Internal team members and providing business support.
Have knowledge on project management and able to structure and scope a project and to manage a project through to completion.
Experience in Data migration/Conversions related activities and development.
Expertise in preparing user training documentation, unit test scripts and Integration test scripts.
Have exposure coordinating with Onsite/Offshore team members.
Experience in supporting a global organization
Established experience in working in a matrix management environment.
Overall Job Purpose
This position represents the module expertise and will be responsible for maintaining and enforcing business processes, standard procedure, and template policy for SAP Procure-to-Pay process (MM module).
This position will also be managing for minor or medium scale projects.
The IES SAP CoE – PTP analyst will reports to SAP PTP CoE Lead and maintains responsibility for hands-on leadership in managing and supporting PTP (procure-to- pay), and related modules within MODEC’s global SAP system.
Core Responsibilities
Provide operational support, finding solutions for incoming incidents. Investigate, monitor, follow up issues
Working closely with the Procurement teams globally to grasp new business requirements and translate it SAP (non-SAP) Solution design
As subject matter expert in procurement and supply chain area, carry out continuous improvement activities for the SAP template processes to meet business expectations
Authorization design, Reports, Documentation, User Training, Cut over activities, Go live and Post go live support
Working with the lead and collaborate with business stakeholders to introduce new enhancements, processes and functionalities and tracking the business benefits
Responsible for integration with cross functional module like Material Management (MM), Sales and Distribution (SD) and Project System (PS)
Establishing, maintaining, and enforcing business processes, standard procedure, and template policy
Working closely with different teams (eg: Basis, Abap, AMS) to ensure issues and requests are addressed timely
Prepare proposal and presentation to stakeholders to communicate ideas and to obtain buy-in in the absence of the PTP Lead
Carry out and manage minor or medium scale projects and ensure all aspect of the projects are aligned and risk being managed.
SAP configuration skills in the PTP module
Perform maintenance and support of SAP PTP modules",[Microsoft Excel][Supply Chain][Estimates][Procurement][SQL][SAP][Authorization][Wellbeing][Business Process][Business Analyst][Cut][ECC][Business Requirements]
"Tescom Singapore is looking for a great Application Support Engineer

This is an attractive and rewarding opportunity for the role of application support engineer to join a team of support engineers to cover a collection of critical applications for a global user base.

Main Responsibilities:
• Provide Level 1, Level 2, and Level 3 application production support services.
• Analyse, and resolve incident tickets through a pre-defined workflow and ticketing tool.
• Meet service level agreements (SLAs) for response time and resolution time.
• Apply technical skills in .NET C#, SQL and JavaScript in resolving incident tickets.
• Able to work shifts.

Experience:
• Minimum 2 years relevant experience working in an application production support team.
• Minimum 2 years work experience in software development and coding in .NET, C#, SQL
and JavaScript.
• ITIL foundation certification (good to have)",[Troubleshooting][.NET][Ticketing][JavaScript][Unix][SQL][Application Support][Accountability][ITIL][Java][C#][Software Development][Able To Work Independently]
"Job Responsibilities:
Responsible for the management of Site Reliability Engineering, have hands-on knowledge on manage & troubleshot server, network and applications;
Responsible for the deployment and daily monitoring of the company's business systems to ensure the normal operation and emergency response;
Provide in-depth understanding of the operation and maintenance architecture, good at architecture design, performance optimization, platform security; Responsible for the improvement of the operation and maintenance team skills, to ensure the professional level of the operation and maintenance team.
Establish and improve standardized operation systems for DevOps team. Use a sound management strategies and security strategies to ensure the quality of operation and maintenance;
Job Requirements:
Familiar with automation deployment, proficient in how to build the most of popular monitoring system in the market. SVN/Git version control system and proficient in CICD configuration;
Hands-on knowledge in Nginx configuration, Load balancer (SLB) configuration. Familiar with Node.js running environment.
Skilled in managing Linux systems and security, with experience in operation and maintenance of large websites or web application platforms;
Understand common knowledge about the network, familiar with firewall, VPN, DHCP, DNS and other network technologies, familiar with high availability/load balancing technology;
High sense of responsibility, strong ability to analyze and eliminate faults, good at learning at work, able to withstand work stress;
Understand the penetration test, have experience in safe operation and maintenance, and have working experience in AZURE, AWS or Google Cloud platforms;
Required Skill(s): redis, zabbix, elasticsearch,KBS,HAProxy,Jenkins
Candidate must possess at least Bachelor's Degree/Post Graduate Diploma/Professional Degree in Engineering (Computer/Telecommunication), Engineering (Electrical/Electronic), Computer Science/Information Technology or equivalent.
Required language(s): English, Mandarin (Good communication skills in Mandarin language to handle Mandarin speaking customers’ enquires & conduct trouble shooting based on customers’ feedback)
At least 1 year of working experience in the related field is required for junior position. Shift work may be required.
Preferably Senior Executive specialized in IT/Computer - Network/System/Database Admin or equivalent.
What we offer:
Attractive rewards for long-term service staff
Energetic and friendly working environment (flexible working hours, quarterly events, staff birthday celebration and etc.)
Medical insurance",[Azure][Node.js][AWS][DHCP][CloudFormation][Google Cloud Platform][Nginx][Reliability Engineering][hands-on experience][Zabbix][VSTS][VPN][DNS][Linux][Version Control SVN]
"Technical Competencies
Programming Language/Framework – Angular, NodeJS, Sequelizer, Express, Bootstrap 4, ANT Design
Databases (MariaDB)
API (SOAP/RESTful/ AJAX calls)
Tools (GIT, SVN, Jenkins)
Data Format (JSON, CSV, XML)
Requirements
4-6 years of experience in web development
Proficient understanding of web markup including HTML5, CSS3 and or Ant Design framework
Experience in server side CSS pre processing platforms including but not limited to LESS and SASS
Proficient in client-side scripting and JavaScript/typescript frameworks and libraries specifically Angular and Express (NodeJS)
Deep understanding of asynchronous request handling, partial page updates and AJAX
Proficient understanding of cross browser compatibility issues and ways to work around them
Proficient in ORM framework and or SQL-based queries preferably in MariaDB
Good understanding of RESTful API and able to make API in Express.
Proficient understanding of charting library specifically D3.js and Highcharts
Good working knowledge on Software Development Lifecycle and has experience using tools such as GIT, SVN, Jenkins, Bamboo, JIRA, etc.
Knowledge on Agile methodology
Excellent troubleshooting, diagnostic, debugging & analytical skills.
Strong initiative and sense of ownership.
Good leadership skills and able to manage initiatives and small team of developers
Responsibilities
Develops software solutions by studying information needs; conferring with users; studying systems flow, data usage, and work processes; investigating problem areas; following the software development lifecycle.
Determines operational feasibility by evaluating analysis, problem definition, requirements, solution development, and proposed solutions.
Documents and demonstrates solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code.
Prepares and installs solutions by determining and designing system specifications, standards, and programming.
Improves operations by conducting systems analysis; recommending changes in policies and procedures.
Updates job knowledge by studying state-of-the-art development tools, programming techniques, and computing equipment; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.
Provides information by collecting, analyzing, and summarizing development and service issues.
Accomplishes engineering and organization mission by completing related results as needed.
Supports and develops software engineers by providing advice, coaching and educational opportunities",[JSON][CSS3][CSS][Scripting][HTML5][MariaDB][Agile Methodology][Systems Analysis][AJAX][Angular][Publications][Debugging][API][Web Development][Databases][Software Development]
"The Opportunity
Adecco is partnering with one of the most well-established and respected financial institution with a strong track record of success.
They have a culture of innovation and continuous improvement, constantly looking for ways to improve their services and offerings.
Job Responsibilities
Provide technical and functional Level 1 and Level 2 application support to a portfolio of Corporate IT and Security applications.
Communication with end-users via phone, chat, email, and/or a support ticketing.
Analyze and manage incidents/problems/requests coming from users.
Collaborate with cross-functional teams to troubleshoot and resolve technical issues efficiently.
Readressing the issue towards L3 application or infrastructure teams.
Supervise and monitor daily and monthly jobs.
Handle user request by working closely with project, infrastructure and production teams.
Process and issue daily, weekly and monthly reporting on data and tickets.
Able to work in shifting schedules (ASIA and EMEA).
Job Qualification
Education Bachelor or better – Computer Science or related field, work experience in the industry certification will be an advantage.
This position requires a minimum of 1+ years of experience in supporting or developing application.

Mandatory:
Possesses strong analytical, logical and problem solving skills.
Technical background (basic/intermediate knowledge of databases, application servers and programming languages).
Excellent communication skills in English, both written and verbal, with the ability to convey technical concemts to non-technical users.
Possesses strong written and verbal communication skills in English.
Strong perseverance, diligence towards attaining goals and effective time management.
Self-motivated, flexible and an excellent team player.
Understanding and respect of cultural diversity.
Ability to multi-task and work independently with minimal supervision.
Understand concepts of IT Production environment and deployment process.
Nice to Have
Experience working in the financial industry or a similarly regulated environment.
Knowledge around software development, cybersecurity, application support is a plus.
Programing or scripting skills for automation purpose.
Other Professional Skills and Mind-set
Strong communication (written, and verbal) in English is a must.
Proactive style of working, organizational skills.
Strong analytical and problem solving skills.
Ability to multi-task and work independently with minimal supervision.
Team player mindset.
Understanding and respect of cultural diversity.
Next Step
Click “apply” or send resume to: Tamanna Bilandi tamanna.bilandi@adecco.com
EA Licence No.91C2918 | Personnel Registration No. R2096241",[Ability to Multitask][Excellent Communication Skills][Oracle][Ticketing][Application Servers][Scripting][Unix][Application Support][Time Management][Team Player][Databases][Field Work][Software Development]
